WKT,osm_id,access,amenity,name,operator,operational_status,watsan:availability,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.851978577752192 -1.264448409090758),4494090544,yes,drinking_water,,Empire,,always,,,piped_tap,,,,
POINT (36.851568227330404 -1.263794774347321),4502070795,,drinking_water,River Side Youth Group,,operational,often,,public_community,piped_tap,,yes,,
POINT (36.851589068244991 -1.263481607986407),4502203211,,drinking_water,Mama Adesh,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.852030680038666 -1.263590547134876),4502070789,,drinking_water,Kwa Wa Keiro,,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.852518016080303 -1.264640511933379),4494090547,yes,drinking_water,,Heshima youth group,,always,,,piped_tap,,,,
POINT (36.852934295382966 -1.264350696185467),4494090543,yes,drinking_water,,New Juja Road,,often,,,piped_tap,,,,
POINT (36.853423967044343 -1.264316748134782),4494122926,yes,drinking_water,,1996 Vietnam Family,,often,,,water_tank,,,,
POINT (36.852661746525762 -1.263675147855425),4502070188,,drinking_water,Kwa Kisii,,operational,often,,public_community,water_tank,,yes,,
POINT (36.857152514462612 -1.266243344212988),1207178837,,drinking_water,NWC,,operational,,free,public_community,piped_tap,,yes,05:00-23:00,private
POINT (36.853699749836558 -1.265758102943263),1207178821,,drinking_water,NWC,,operational,,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,07:00-12:00,private
POINT (36.854972842257219 -1.265771035526865),4494122928,yes,drinking_water,,Kambi Safi,,often,,,water_tank,,,,
POINT (36.853672261388866 -1.264981249712738),4494090550,yes,drinking_water,,Kwa Gitau,,always,,,piped_tap,,,,
POINT (36.85501739869531 -1.265838123303264),4452996074,,drinking_water,,,,,,,,,,,
POINT (36.855053690632793 -1.265774358482358),1038193552,yes,drinking_water,NWC,N.W.S.C,operational,often,2ksh/20litres,public_community,water_tank,,yes,06:00-21:00,private
POINT (36.85515097817806 -1.26582923215228),4452996085,,drinking_water,,,,,,,,,,,
POINT (36.856276207902944 -1.265839021399314),4452996088,,drinking_water,,,,,,,,,,,
POINT (36.856215571621263 -1.26581180908862),1038193537,yes,drinking_water,NWSC Water Point A,N.W.S.C,,often,,,water_tank,,,,
POINT (36.855052792317508 -1.265450145777157),4494122927,yes,drinking_water,,Kwa Masaai,,often,,,piped_tap,,,,
POINT (36.854929094302882 -1.264332734253951),4452996076,yes,drinking_water,,Mama Biko,,often,,,piped_tap,,,,
POINT (36.85497185411041 -1.26436470649197),4502112975,,drinking_water,,,,never,,,piped_tap,,,,
POINT (36.854935202846818 -1.264169639910052),4452996086,,drinking_water,,,,,,,,,,,
POINT (36.855444996770551 -1.264775944877911),4502112977,,drinking_water,,,,never,,,piped_tap,,,,
POINT (36.85562582763724 -1.264335877591982),4453013958,,drinking_water,,,,,,,,,,,
POINT (36.855530426554068 -1.264184727933489),4502112969,,drinking_water,Twaweza Group,,operational,always,Ksh. 2 per 20 Litres,,water_tank,,,,
POINT (36.855976170598055 -1.264325998529596),4453013959,yes,drinking_water,,Kinati,,often,,,water_tank,,,,
POINT (36.855892088287462 -1.264272921021088),4502112952,,drinking_water,Kungengane Self Help Group,,,often,Ksh.5 per 20 Litres,,water_tank,,,,
POINT (36.856354271501139 -1.264443918608066),4453020206,yes,drinking_water,,Titi la Mama,,often,,,piped_tap,,,,
