WKT,osm_id,access,amenity,name,operator,watsan:cost,watsan:location,watsan:type,opening_hours
POINT (36.837281151557178 -1.307805449478652),1499927323,,toilets,,Puplic toilet,,,,
POINT (36.837361999932753 -1.307791708835007),1499927319,,toilets,,Puplic toilet,,,,
POINT (36.83760158061903 -1.307767191215769),1499927318,,toilets,,Puplic toilet,,,,
POINT (36.83791105023441 -1.307779584737616),1499927315,,toilets,Veronicah mwelu,,ksh 3,by_the_river,,05:30-22:00
POINT (36.837995402039589 -1.307572307567182),2297921279,,toilets,toilet,,,,,06:00-18:00
POINT (36.838168687057895 -1.307596106723238),1499927311,,toilets,,Puplic toilet,,,,
POINT (36.838301278393828 -1.307557758649023),2296702886,,toilets,Bitch_isaak,,Ksh. 3,,private_toilet,
POINT (36.838472946444625 -1.307682142915695),1499927312,,toilets,,Puplic toilet,,,,
POINT (36.838496212810483 -1.30750899283017),2297921373,,toilets,toilet,,,,public_toilet,
POINT (36.839669951560708 -1.308149953434537),6584041489,permissive,toilets,,,,,,
POINT (36.838792746685769 -1.307684657543394),2296702901,,toilets,Kwa_goerge,,,,private_toilet,
POINT (36.838771456613536 -1.307582545694727),2296702896,,toilets,Kwa_bungoma,,,,private_toilet,
POINT (36.838622426107904 -1.307433374376193),2296702921,,toilets,toilet,,,,public_toilet,
POINT (36.83873121208881 -1.307507376283661),1499927306,,toilets,,Puplic toilet,,,,
POINT (36.838864881403083 -1.307434541882043),2296702922,,toilets,toilet,,,,private_toilet,
POINT (36.838998281222771 -1.307518512492854),1499927308,,toilets,,Puplic toilet,,,,
POINT (36.839130423401073 -1.307475135161626),2296702892,,toilets,Kwa_bridge_comma,,,,private_toilet,
POINT (36.839150366000382 -1.307489145231432),2297921269,,toilets,Paul,,,,private_toilet,
POINT (36.839139586216966 -1.307428704352844),1483304313,,toilets,,Puplic toilet,,,,
POINT (36.839303977913964 -1.307407150398758),1499927304,,toilets,,Puplic toilet,,,,
